model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-L-14,motion_blur,contrast,1,0.33899999999999997,0.08199999999999996,0.49199999999999994,0.42099999999999993,0.07100000000000001,superadditive
ViT-L-14,motion_blur,shot_noise,1,0.33899999999999997,0.46099999999999997,0.75,0.7999999999999999,-0.04999999999999993,subadditive
ViT-L-14,fog,jpeg_compression,1,0.22799999999999998,0.49,0.752,0.718,0.03400000000000003,superadditive
ViT-L-14,fog,brightness,1,0.22799999999999998,0.02200000000000002,0.20899999999999996,0.25,-0.041000000000000036,subadditive
ViT-L-14,fog,contrast,1,0.22799999999999998,0.08199999999999996,0.39599999999999996,0.30999999999999994,0.08600000000000002,superadditive
ViT-L-14,fog,shot_noise,1,0.22799999999999998,0.46099999999999997,0.7989999999999999,0.689,0.10999999999999999,superadditive
ViT-L-14,jpeg_compression,brightness,1,0.49,0.02200000000000002,0.508,0.512,-0.0040000000000000036,additive
ViT-L-14,jpeg_compression,contrast,1,0.49,0.08199999999999996,0.5209999999999999,0.572,-0.051000000000000045,subadditive
ViT-L-14,jpeg_compression,shot_noise,1,0.49,0.46099999999999997,0.631,0.951,-0.31999999999999995,subadditive
ViT-L-14,brightness,contrast,1,0.02200000000000002,0.08199999999999996,0.10399999999999998,0.10399999999999998,0.0,additive
ViT-L-14,brightness,shot_noise,1,0.02200000000000002,0.46099999999999997,0.473,0.483,-0.010000000000000009,subadditive
ViT-L-14,contrast,shot_noise,1,0.08199999999999996,0.46099999999999997,0.77,0.5429999999999999,0.2270000000000001,superadditive
ViT-L-14,gaussian_noise,motion_blur,3,0.692,0.693,0.814,1.3849999999999998,-0.5709999999999998,subadditive
ViT-L-14,gaussian_noise,fog,3,0.692,0.48,0.7929999999999999,1.172,-0.379,subadditive
ViT-L-14,gaussian_noise,jpeg_compression,3,0.692,0.6319999999999999,0.736,1.3239999999999998,-0.5879999999999999,subadditive
ViT-L-14,gaussian_noise,brightness,3,0.692,0.11599999999999999,0.74,0.8079999999999999,-0.06799999999999995,subadditive
ViT-L-14,gaussian_noise,contrast,3,0.692,0.23299999999999998,0.748,0.9249999999999999,-0.17699999999999994,subadditive
ViT-L-14,gaussian_noise,shot_noise,3,0.692,0.71,0.7649999999999999,1.402,-0.637,subadditive
ViT-L-14,motion_blur,fog,3,0.693,0.48,0.823,1.173,-0.3500000000000001,subadditive
ViT-L-14,motion_blur,jpeg_compression,3,0.693,0.6319999999999999,0.7969999999999999,1.3249999999999997,-0.5279999999999998,subadditive
ViT-L-14,motion_blur,brightness,3,0.693,0.11599999999999999,0.73,0.8089999999999999,-0.07899999999999996,subadditive
ViT-L-14,motion_blur,contrast,3,0.693,0.23299999999999998,0.7989999999999999,0.9259999999999999,-0.127,subadditive
ViT-L-14,motion_blur,shot_noise,3,0.693,0.71,0.816,1.403,-0.5870000000000001,subadditive
ViT-L-14,fog,jpeg_compression,3,0.48,0.6319999999999999,0.813,1.1119999999999999,-0.29899999999999993,subadditive
ViT-L-14,fog,brightness,3,0.48,0.11599999999999999,0.491,0.596,-0.10499999999999998,subadditive
ViT-L-14,fog,contrast,3,0.48,0.23299999999999998,0.745,0.713,0.03200000000000003,superadditive
ViT-L-14,fog,shot_noise,3,0.48,0.71,0.82,1.19,-0.37,subadditive
ViT-L-14,jpeg_compression,brightness,3,0.6319999999999999,0.11599999999999999,0.6809999999999999,0.7479999999999999,-0.06699999999999995,subadditive
ViT-L-14,jpeg_compression,contrast,3,0.6319999999999999,0.23299999999999998,0.6639999999999999,0.8649999999999999,-0.20099999999999996,subadditive
ViT-L-14,jpeg_compression,shot_noise,3,0.6319999999999999,0.71,0.764,1.3419999999999999,-0.5779999999999998,subadditive
ViT-L-14,brightness,contrast,3,0.11599999999999999,0.23299999999999998,0.31099999999999994,0.349,-0.038000000000000034,subadditive
ViT-L-14,brightness,shot_noise,3,0.11599999999999999,0.71,0.748,0.826,-0.07799999999999996,subadditive
ViT-L-14,contrast,shot_noise,3,0.23299999999999998,0.71,0.818,0.943,-0.125,subadditive
